Dataset_ID,Field_API_Name,Field_Label,Field_Type,Value
Dataset_002,Toolkits__c,Toolkits,dropdown,Updated
Dataset_002,Webinars__c,Webinars,dropdown,New
Dataset_002,Websites__c,Websites,dropdown,New
Dataset_002,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Size plan movie think ever remember. Fire alone maybe.Hit maybe why wear scene small pressure. Exactly effect upon organization father girl. Evidence center stage young partner perform cold.Medical buy local yard source section happen. Rather wear yet lose.Hospital check goal rise material world director. True benefit these same. Party arrive about her better.Goal magazine available fast with. Involve important notice as.
Dataset_003,Number_of_people_on_listserv__c,Number of people on listserv,text,23590757
Dataset_003,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,791190
Dataset_003,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/a
Dataset_003,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,4437
Dataset_003,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,4
Dataset_003,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Dog blue modern record if mouth. To ever probably story day return perform.Thought reduce common sure little. Too risk different huge.In turn per future son. Determine democratic we. Like sound heart teacher simply official. Land science government age.I note executive million different night. Movie build too professional public along popular court. Activity until major performance least why. Crime instead ask be street old.
Dataset_003,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_003,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_003,Articles__c,Articles,dropdown,New
Dataset_003,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_003,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_003,Maps__c,Maps,dropdown,Updated
Dataset_003,Newsletter__c,Newsletter,dropdown,New
Dataset_003,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_003,Webinars__c,Webinars,dropdown,New
Dataset_003,Websites__c,Websites,dropdown,Updated
Dataset_003,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Across rich available bank until network. Decade source off seven. Operation someone consider.Mission message spring shoulder increase. Suffer eight computer chair magazine. To word player walk.Thought simple individual window wife. Bad inside around training magazine what.Space high likely begin program. Ask law political single whether war recent. Politics blue scientist miss possible national meeting.
Dataset_004,Number_of_people_on_listserv__c,Number of people on listserv,text,N/A
Dataset_004,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,65
Dataset_004,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,618
Dataset_004,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/a
Dataset_004,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,9
Dataset_004,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Road choose foreign see wait shoulder back. Discuss maybe resource reach.Democratic small get hundred.
Dataset_004,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_004,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_004,Articles__c,Articles,dropdown,Updated
Dataset_004,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_004,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_004,Maps__c,Maps,dropdown,New
Dataset_004,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_004,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_004,Webinars__c,Webinars,dropdown,Updated
Dataset_004,Websites__c,Websites,dropdown,New
Dataset_004,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Baby information front response plant. Level return high base statement herself six.Hour candidate him security job. Strong economic though development book Mrs.Parent key in talk. Investment language member thought Democrat. Seek artist president since enough.
Dataset_005,Number_of_people_on_listserv__c,Number of people on listserv,text,70683
Dataset_005,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,1469
Dataset_005,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,0584
Dataset_005,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,994
Dataset_005,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/a
Dataset_005,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Argue respond claim likely positive knowledge owner. Toward space history trip that cold. Dream staff statement late former.Staff financial environment hour. Relationship market term visit pattern decade suggest tough.Walk federal role history evidence then alone. One dinner last item high.Her nature line section PM.
Dataset_005,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_005,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_005,Articles__c,Articles,dropdown,New
Dataset_005,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_005,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_005,Maps__c,Maps,dropdown,New
Dataset_005,Newsletter__c,Newsletter,dropdown,Updated
Dataset_005,Toolkits__c,Toolkits,dropdown,Updated
Dataset_005,Webinars__c,Webinars,dropdown,New
Dataset_005,Websites__c,Websites,dropdown,NA/None
Dataset_005,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Charge dog pull myself whatever. Recent mean benefit do attention.
Dataset_006,Number_of_people_on_listserv__c,Number of people on listserv,text,2
Dataset_006,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,7415
Dataset_006,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,0891474476
Dataset_006,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,57323
Dataset_006,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,n/a
Dataset_006,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Run particularly protect cut. Sign despite boy popular weight close line.To various more energy. Direction force authority article order writer large. Her another responsibility similar draw.Near occur section degree. Late customer require there possible character discuss. Best quickly guy room newspaper throw. Note political forget affect method successful long.Interview member paper by.
Dataset_006,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_006,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_006,Articles__c,Articles,dropdown,Updated
Dataset_006,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_006,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_006,Maps__c,Maps,dropdown,New
Dataset_006,Newsletter__c,Newsletter,dropdown,New
Dataset_006,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_006,Webinars__c,Webinars,dropdown,Updated
Dataset_006,Websites__c,Websites,dropdown,NA/None
Dataset_006,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,From story show much experience off box.Which that fly figure. Language base teacher outside look teach.
Dataset_007,Number_of_people_on_listserv__c,Number of people on listserv,text,N/A
Dataset_007,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,N/a
Dataset_007,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,860790
Dataset_007,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,84435334
Dataset_007,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,166972573
Dataset_007,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Finally economy even forget light. Nearly young hard evidence. Question owner young reach.
Dataset_007,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_007,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_007,Articles__c,Articles,dropdown,Updated
Dataset_007,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_007,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_007,Maps__c,Maps,dropdown,New
Dataset_007,Newsletter__c,Newsletter,dropdown,New
Dataset_007,Toolkits__c,Toolkits,dropdown,Updated
Dataset_007,Webinars__c,Webinars,dropdown,Updated
Dataset_007,Websites__c,Websites,dropdown,Updated
Dataset_007,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Bar necessary each article station young. Decision green another close large cover Democrat remain. Watch force beat change pressure rich ok.Write letter reflect find modern painting.
Dataset_008,Number_of_people_on_listserv__c,Number of people on listserv,text,63625
Dataset_008,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,1
Dataset_008,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,80
Dataset_008,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,5
Dataset_008,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/a
Dataset_008,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Security thought party decision he spring participant personal. Use half five.
Dataset_008,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_008,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_008,Articles__c,Articles,dropdown,Updated
Dataset_008,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_008,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_008,Maps__c,Maps,dropdown,New
Dataset_008,Newsletter__c,Newsletter,dropdown,Updated
Dataset_008,Toolkits__c,Toolkits,dropdown,New
Dataset_008,Webinars__c,Webinars,dropdown,New
Dataset_008,Websites__c,Websites,dropdown,NA/None
Dataset_008,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Involve per floor analysis product nothing. Speak court quality suddenly individual. Suggest begin create program eye.Democratic significant take side sing figure. Road pull less color. Successful certain approach once cover.Shoulder hospital listen book might task why conference. Environment own else surface tough once.
Dataset_009,Number_of_people_on_listserv__c,Number of people on listserv,text,6344032983
Dataset_009,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,8029426
Dataset_009,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,1708527
Dataset_009,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,002
Dataset_009,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/a
Dataset_009,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Old court firm if story alone. Civil add enjoy test indicate military high.Drive get degree candidate. Address analysis arrive consider. Travel operation personal imagine pay address.Will card idea. Involve of measure vote list debate. Song article know last second campaign anything wall.Before president lot could science subject begin. Specific service order above understand indicate month reflect. Still recent leave to market generation.
Dataset_009,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_009,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_009,Articles__c,Articles,dropdown,NA/None
Dataset_009,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_009,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_009,Maps__c,Maps,dropdown,New
Dataset_009,Newsletter__c,Newsletter,dropdown,New
Dataset_009,Toolkits__c,Toolkits,dropdown,New
Dataset_009,Webinars__c,Webinars,dropdown,Updated
Dataset_009,Websites__c,Websites,dropdown,NA/None
Dataset_009,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,View.
Dataset_010,Number_of_people_on_listserv__c,Number of people on listserv,text,n/A
Dataset_010,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,N/A
Dataset_010,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,N/a
Dataset_010,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/a
Dataset_010,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/A
Dataset_010,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Bag at network quickly. Increase recognize would range there. Wall cause owner until while magazine.Body letter not result through. Ball popular same brother girl. Center hard thing success choice material worker win.Series near traditional my charge change. Paper think would mother. Interest truth two meet now control.
Dataset_010,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_010,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_010,Articles__c,Articles,dropdown,NA/None
Dataset_010,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_010,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_010,Maps__c,Maps,dropdown,New
Dataset_010,Newsletter__c,Newsletter,dropdown,Updated
Dataset_010,Toolkits__c,Toolkits,dropdown,Updated
Dataset_010,Webinars__c,Webinars,dropdown,New
Dataset_010,Websites__c,Websites,dropdown,Updated
Dataset_010,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Three happy challenge pretty. Old state reality respond theory then bad.Be discuss at summer.Catch decade source little group avoid.Natural bed best name food week.Go those understand college likely necessary among. Imagine city share science.Sell none wish short. Though from end then deep. Receive attack organization allow girl.
Dataset_011,Number_of_people_on_listserv__c,Number of people on listserv,text,N/a
Dataset_011,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,64178
Dataset_011,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/A
Dataset_011,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,79
Dataset_011,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/A
Dataset_011,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Mention police forget million sort character world. Affect respond dinner shoulder shoulder east total single. Seem future strong whose.Really threat argue little message floor others. Loss after guy place central central case light. System mention force side inside course throw check.Maybe Mr when section her drive. West child night once everybody behavior responsibility. Open agency similar score political body.Offer soon those house arrive pay. Total which positive range will PM.Good low wrong lose much thought hotel. Here by amount improve student her country.Arrive increase south tough sound current. Sell article mission direction offer level.
Dataset_011,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_011,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_011,Articles__c,Articles,dropdown,NA/None
Dataset_011,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_011,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_011,Maps__c,Maps,dropdown,New
Dataset_011,Newsletter__c,Newsletter,dropdown,Updated
Dataset_011,Toolkits__c,Toolkits,dropdown,New
Dataset_011,Webinars__c,Webinars,dropdown,Updated
Dataset_011,Websites__c,Websites,dropdown,Updated
Dataset_011,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Piece expert throw to move. Will his save.
Dataset_012,Number_of_people_on_listserv__c,Number of people on listserv,text,95933
Dataset_012,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_012,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,084411
Dataset_012,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/a
Dataset_012,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/a
Dataset_012,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Politics federal unit fine. Develop key once understand huge. Impact range face official. Ball indicate arrive maybe clear.Bar everybody discover. Everyone body film sort.Side significant scientist buy fire simply. Little hope whom opportunity prove produce season.Rock trouble mean dream other south direction. Group method firm bag. Everything thank shake student.Social yes it. Commercial nearly bit certain minute like grow. Reflect others over even style.Note yes least tax executive. Ever five go first necessary month over.Remember network suddenly less today red. Blood room yeah.Sound politics close recent program be never. Democrat safe surface half product her perform. Visit forward especially level art record firm.
Dataset_012,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_012,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_012,Articles__c,Articles,dropdown,Updated
Dataset_012,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_012,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_012,Maps__c,Maps,dropdown,New
Dataset_012,Newsletter__c,Newsletter,dropdown,New
Dataset_012,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_012,Webinars__c,Webinars,dropdown,NA/None
Dataset_012,Websites__c,Websites,dropdown,New
Dataset_012,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,War many follow nation process.Teacher attack hear three imagine trip another.Sign do together similar. Season single phone computer miss practice you. Enjoy father level treat.Finish agree everybody gas my. Until environmental send space back party.
Dataset_013,Number_of_people_on_listserv__c,Number of people on listserv,text,n/a
Dataset_013,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_013,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,2822204219
Dataset_013,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,N/A
Dataset_013,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,344649
Dataset_013,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Speech really evening identify. Real forget rather light at effort daughter effort. As perform though hour.Price throw listen by something establish local. Official artist head almost technology.
Dataset_013,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_013,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_013,Articles__c,Articles,dropdown,Updated
Dataset_013,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_013,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_013,Maps__c,Maps,dropdown,NA/None
Dataset_013,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_013,Toolkits__c,Toolkits,dropdown,New
Dataset_013,Webinars__c,Webinars,dropdown,New
Dataset_013,Websites__c,Websites,dropdown,Updated
Dataset_013,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Tonight right sometimes really reduce.
Dataset_014,Number_of_people_on_listserv__c,Number of people on listserv,text,07
Dataset_014,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,1557
Dataset_014,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/A
Dataset_014,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,1625090
Dataset_014,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,61402346
Dataset_014,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Evidence no performance wait this partner stay source. Music indicate ask especially wish. Catch ask water street star agreement.Speak there can. Him air catch. Up company color ten.Measure hope skin with.Live day member idea walk kind them help. Weight letter require usually study give specific material. Choice nothing even politics foot relate.Audience ahead question they travel clearly me. Help American leader make from item record. Recently hear foot sound through including floor.Find clear husband campaign site. Executive whose think employee sing if notice. Out member movement toward total management activity.World field really rock control walk. Subject could country appear society stand.Government upon use summer. Dog their scene activity eight century.Hold almost quality. Set everyone sort capital near level tax.Responsibility several difference drop. Man wait huge choose almost interest include church.Factor imagine those could others if.Often at market tree. Raise about action just. Production standard reveal seem white.Material despite design sport both dinner. Door wonder born live. Heavy institution bank enter suddenly response increase.Break rest prevent finish common year seem. Set local write produce wait white whether.Page quickly rather doctor.
Dataset_014,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_014,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_014,Articles__c,Articles,dropdown,New
Dataset_014,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_014,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_014,Maps__c,Maps,dropdown,New
Dataset_014,Newsletter__c,Newsletter,dropdown,Updated
Dataset_014,Toolkits__c,Toolkits,dropdown,New
Dataset_014,Webinars__c,Webinars,dropdown,New
Dataset_014,Websites__c,Websites,dropdown,New
Dataset_014,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Present nature.
Dataset_015,Number_of_people_on_listserv__c,Number of people on listserv,text,n/A
Dataset_015,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,132616
Dataset_015,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/a
Dataset_015,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,N/a
Dataset_015,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,6
Dataset_015,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Election provide cut than quite lead. Head fast space question represent order. Family fill environmental way.Support energy girl others easy brother anyone. Several bit race film number single enjoy.View receive country security near possible network effort. Teacher follow key sit possible free three. Stand small brother.After return management probably performance. Have action go together middle minute lay into. Oil agree consider past Mrs heart leave.Little truth government either interest have. That public available note use more.Race this either play occur natural attorney. Young report couple race.
Dataset_015,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_015,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_015,Articles__c,Articles,dropdown,Updated
Dataset_015,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_015,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_015,Maps__c,Maps,dropdown,New
Dataset_015,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_015,Toolkits__c,Toolkits,dropdown,Updated
Dataset_015,Webinars__c,Webinars,dropdown,NA/None
Dataset_015,Websites__c,Websites,dropdown,Updated
Dataset_015,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Large leg owner issue agent staff here. Language return join former time. Generation money suggest financial process piece country around.Treat hope already maybe fire food history. Five price continue onto close.
Dataset_016,Number_of_people_on_listserv__c,Number of people on listserv,text,N/A
Dataset_016,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/a
Dataset_016,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,4904307116
Dataset_016,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,N/a
Dataset_016,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,n/A
